Go,Advance to "Go" (Collect £200)
KentRoad,Go back to Old Kent Road
Jail,Go to jail. Move directly to jail. Do not pass "Go". Do not collect £200.
Hospital,Pay hospital £100
Fee,Doctor's fee. Pay £50
Insurance,Pay your insurance premium £50
BankError,Bank error in your favour. Collect £200
AnnuityMatures,Annuity matures. Collect £100
Inherit,You inherit £100
Stock,From sale of stock you get £50
Interest,Receive interest on 7% preference shares: £25
TaxRefund,Income tax refund. Collect £20
WonContest,You have won second prize in a beauty contest. Collect £10
Birthday,It is your birthday. Collect £10 from each player.
OutJail,Get out of jail free. This card may be kept until needed or solf
Fine,Pay a £10 fine or take a "Chance"
